name|numInputs|numOutputs|maxLevel|numEdges|reliability|size|area|longest_path|hashCode|const|and|nand|or|nor|not|xor|xnor|buf|const-and|const-nand|const-or|const-nor|const-not|const-xor|const-xnor|const-buf|const-output|and-and|and-nand|and-or|and-nor|and-not|and-xor|and-xnor|and-buf|and-output|nand-and|nand-nand|nand-or|nand-nor|nand-not|nand-xor|nand-xnor|nand-buf|nand-output|or-and|or-nand|or-or|or-nor|or-not|or-xor|or-xnor|or-buf|or-output|nor-and|nor-nand|nor-or|nor-nor|nor-not|nor-xor|nor-xnor|nor-buf|nor-output|not-and|not-nand|not-or|not-nor|not-not|not-xor|not-xnor|not-buf|not-output|xor-and|xor-nand|xor-or|xor-nor|xor-not|xor-xor|xor-xnor|xor-buf|xor-output|xnor-and|xnor-nand|xnor-or|xnor-nor|xnor-not|xnor-xor|xnor-xnor|xnor-buf|xnor-output|buf-and|buf-nand|buf-or|buf-nor|buf-not|buf-xor|buf-xnor|buf-buf|buf-output|input-and|input-nand|input-or|input-nor|input-not|input-xor|input-xnor|input-buf|input-output
ftt100_CNFF|5|1|22|120|5,6168294|12|12,502|4|40ad3370630571c24fc1f412f60b8ad2a6a9b15bb39b177cde65592b920e2347|0|16|0|41|0|5|0|0|0|0|0|0|0|0|0|0|0|0|15|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|17|0|37|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23|0|5|0|0|0|0
ftt100_CNFT|5|1|20|110|5,3205852|9|10,108|4|d1893ffaea2f64620269bb9302c97d1fa043a4ff3d43dbf1a5e108d8cfea78d9|0|38|0|14|0|5|0|0|0|0|0|0|0|0|0|0|0|0|34|0|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|0|0|0|5|0|0|0|0
ftt101_CNFF|5|1|23|126|4,3353212|10|8,778|3|1be6300ce7ba411d9827f3e1148439de48d77d032397a5a9538e11582d94b8d8|0|17|0|43|0|5|0|0|0|0|0|0|0|0|0|0|0|0|16|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|18|0|39|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|24|0|5|0|0|0|0
ftt101_CNFT|5|1|19|104|4,5817436|9|7,98|4|5419a97aabdf77995bada2a86d632c5f928c37986c996a60dc25b5cd123e3f6d|0|36|0|13|0|5|0|0|0|0|0|0|0|0|0|0|0|0|32|0|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|19|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21|0|0|0|5|0|0|0|0
ftt102_CNFF|5|1|16|86|5,313483|9|8,778|4|d5a9c7859d661cec6a4fd7455adff67be9315a1f1a7ae1e9c76c715d100a7605|0|10|0|30|0|5|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|11|0|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|0|5|0|0|0|0
ftt102_CNFT|5|1|26|138|4,693836|12|10,906|4|1c4c251d730875a0216e22273c698667c0f38d3659f489d32d713270db0315cd|0|46|0|20|0|5|0|0|0|0|0|0|0|0|0|0|0|0|42|0|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|19|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|24|0|0|0|5|0|0|0|0
ftt103_CNFF|5|1|25|134|4,859155|9|9,576|4|8c4ea481ec3d6a343ac197b82e3ab13583ae1d3fac9202b7f16ab8409380c8fd|0|19|0|45|0|5|0|0|0|0|0|0|0|0|0|0|0|0|18|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|20|0|41|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23|0|5|0|0|0|0
ftt103_CNFT|5|1|16|92|4,3318898|9|9,044|4|a6523a011ad28f939065394f12dce04bf639dbde4fcd33b59cc09bb6986d4df3|0|32|0|11|0|5|0|0|0|0|0|0|0|0|0|0|0|0|28|0|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16|0|0|0|5|0|0|0|0
ftt104_CNFF|5|1|22|118|6,2273526|14|14,098|4|d343e5715db36ec3d6c114ebfd495e56218e510d6ce4b8589e5325e091233810|0|16|0|40|0|5|0|0|0|0|0|0|0|0|0|0|0|0|15|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|17|0|36|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|21|0|5|0|0|0|0
ftt104_CNFT|5|1|20|108|4,8924848|9|10,108|4|48e8d11427d53cabf4aee25cde734a6d1e269007f180d9aa91837513e7f9f15a|0|37|0|14|0|5|0|0|0|0|0|0|0|0|0|0|0|0|33|0|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|0|0|0|5|0|0|0|0
