numInputs,numOutputs,maxLevel,const,and,nand,or,nor,not,xor,xnor,buf,const-and,const-nand,const-or,const-nor,const-not,const-xor,const-xnor,const-buf,const-output,and-and,and-nand,and-or,and-nor,and-not,and-xor,and-xnor,and-buf,and-output,nand-and,nand-nand,nand-or,nand-nor,nand-not,nand-xor,nand-xnor,nand-buf,nand-output,or-and,or-nand,or-or,or-nor,or-not,or-xor,or-xnor,or-buf,or-output,nor-and,nor-nand,nor-or,nor-nor,nor-not,nor-xor,nor-xnor,nor-buf,nor-output,not-and,not-nand,not-or,not-nor,not-not,not-xor,not-xnor,not-buf,not-output,xor-and,xor-nand,xor-or,xor-nor,xor-not,xor-xor,xor-xnor,xor-buf,xor-output,xnor-and,xnor-nand,xnor-or,xnor-nor,xnor-not,xnor-xor,xnor-xnor,xnor-buf,xnor-output,buf-and,buf-nand,buf-or,buf-nor,buf-not,buf-xor,buf-xnor,buf-buf,buf-output,input-and,input-nand,input-or,input-nor,input-not,input-xor,input-xnor,input-buf,input-output,reliability_percent
2,10,7,0,7,8,2,5,5,6,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,3,0,0,3,3,2,2,1,4,2,0,0,1,1,0,1,0,1,2,0,0,4,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,4,1,3,2,2,2,0,0,2,1,0,1,0,0,3,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,0,0,0,100
5,8,3,0,1,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,90.67
6,3,11,0,11,10,6,9,7,12,9,0,0,0,0,0,0,0,0,0,0,3,1,3,2,0,2,2,0,0,4,2,0,2,1,5,1,0,3,0,2,1,3,0,1,0,0,0,2,3,0,2,0,1,1,0,0,2,0,2,2,0,3,6,0,0,6,6,4,4,1,4,2,0,0,1,1,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,4,2,0,0,22.45
6,1,3,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0
6,10,5,0,3,1,4,1,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,2,1,1,0,1,2,5,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,1,2,2,0,0,0
3,1,3,0,1,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0
4,5,4,0,1,3,1,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0
2,1,5,0,3,2,6,3,3,2,5,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,100
6,10,6,0,4,2,4,4,5,6,6,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2,0,6,0,0,3,0,0,2,3,0,0,1,0,0,0,1,6,1,0,1,0,2,0,3,1,1,1,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,1,2,2,0,0,0,0
2,4,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,100
